corpus_id,entry_no,definition,entry_type,failed_slot,corpus_form,generated_forms,h_root,h_alt_tag,aspect_class,prefix_class,tense_present_class,set_a,plural,animate_objects,present,present_1sg,imperfective,perfective,imperative,infinitive
21,25,he/she is denying him/her,Eventful,present_1sg,tsiyata'yiha,tsiyatayiha,atay,[H_alt=drop],hih-hil,a_stem,a_present,True,False,True,atayhiha,tsiyata'yiha,atayhiho'i,utayhilv'i,hiyatayika,utayhsti
21,25,he/she is denying him/her,Eventful,present_1sg,tsiyata'yiha,tsiyatayhiha,atay,[H_alt=vowel_i],hih-hil,a_stem,a_present,True,False,True,atayhiha,tsiyata'yiha,atayhiho'i,utayhilv'i,hiyatayika,utayhsti
42,46,he/she is making noise,Eventful,present_1sg,katanoyvlihstiha,katanoyhvlhihstiha,atanoyhvlhihst,[H_alt=none],cause,a_stem,a_present,True,False,False,atanoyhvlhihstiha,katanoyvlihstiha,atanoyhvlhihstihsko'i,utanoyhvlhihsthanv'i,hatanoyhvlhihsta,utanoyhvlhihstohti
42,46,he/she is making noise,Eventful,present_1sg,katanoyvlihstiha,tsiyatanoyhvlhihstiha,atanoyhvlhihst,[H_alt=none],cause,a_stem,a_present,True,False,True,atanoyhvlhihstiha,katanoyvlihstiha,atanoyhvlhihstihsko'i,utanoyhvlhihsthanv'i,hatanoyhvlhihsta,utanoyhvlhihstohti
42,46,he/she is making noise,Eventful,present_1sg,katanoyvlihstiha,tsiyatanoyhvlhihstiha,atanoyhvlhist,[H_alt=none],cause,a_stem,a_present,True,False,True,atanoyhvlhihstiha,katanoyvlihstiha,atanoyhvlhihstihsko'i,utanoyhvlhihsthanv'i,hatanoyhvlhihsta,utanoyhvlhihstohti
42,46,he/she is making noise,Eventful,present_1sg,katanoyvlihstiha,katanoyhvlhihstiha,atanoyhvlhist,[H_alt=none],cause,a_stem,a_present,True,False,False,atanoyhvlhihstiha,katanoyvlihstiha,atanoyhvlhihstihsko'i,utanoyhvlhihsthanv'i,hatanoyhvlhihsta,utanoyhvlhihstohti
45,49,he/she is moving from one place to another,Eventful,present,atanv'a,ata'nv'a; kata'nv'a,ata'n,[H_alt=none],v-vhs,a_stem,a_present,True,False,False,atanv'a,kata'nv'a,ata'nvhsko'i,uta'nvhsv'i,hata'nvna,uta'nvhsti
60,64,he/she is learning,Eventful,perfective,utelhohkwa'v'i,uatelhohkwv'i; utelhohkwv'i,atelhohkw,[H_alt=drop],a,a_stem,a_present,True,False,False,atelhohkwa'a,katelohkwa'a,atelhohkwahsko'i,utelhohkwa'v'i,hatelhohkwa,utelhohkwahsti
69,73,he/she is diving,Eventful,perfective,utethinv'i,uatethanv'i; utethanv'i,atet,[H_alt=drop],hvsk-han,a_stem,a_present,True,False,False,atethvhska,katetvhska,atethvhsko'i,utethinv'i,hatethvka,utethti
69,73,he/she is diving,Eventful,perfective,utethinv'i,uatetnhv'i; utetnhv'i,atet,[H_alt=drop],hvsk-nh,a_stem,a_present,True,False,False,atethvhska,katetvhska,atethvhsko'i,utethinv'i,hatethvka,utethti
92,96,he/she is pouring liquid into a container,Eventful,imperative,hitlika,hitla,tl,[H_alt=none],i-a-i,cons_stem,a_present,True,False,True,atli'a,tsitli'a,atlihsko'i,utlv'i,hitlika,utlihsti
92,96,he/she is pouring liquid into a container,Eventful,imperative,hitlika,hitla,tl,[H_alt=none],i-a-i,cons_stem,a_present,True,False,False,atli'a,tsitli'a,atlihsko'i,utlv'i,hitlika,utlihsti
99,103,he/she is getting off,StativeNoImp,perfective,utloyhsv'i,atloyhskv'i; katloyhskv'i,atloyhs,[H_alt=drop],stative-k,a_stem,a_present,True,False,False,atloyhska,katloyhska,atloyhsko'i,utloyhsv'i,hatlohi,utlohihsti
99,103,he/she is getting off,StativeNoImp,perfective,utloyhsv'i,atloyhskv'i; katloyhskv'i,atloyhsk,[H_alt=drop],stative,a_stem,a_present,True,False,False,atloyhska,katloyhska,atloyhsko'i,utloyhsv'i,hatlohi,utlohihsti
